scenario_id,scenario,environment,quantity,unit,n_compared,n_changed,max_abs_diff,measured_on,how
book_rebuild,Rebuild the book,"same machine, jupyter-book build twice into empty folders (notebooks are not re-executed)",files regenerated,files,37,0,,2026-09-22,"jupyter-book build book/australian_cpi_forecasting --path-output <empty folder>, run twice; compare-files on every HTML page, byte for byte. Recipe and saved records: reports/reproducibility_runs/README.md."
restore,Restore the saved model runs,"same machine, pinned packages, models restored from mlruns_snapshot/",files regenerated,files,14,0,,2026-09-22,scripts/repro_scratch_copy.sh; python -m src.mlruns_snapshot restore in the copy; serve it with uvicorn; python -m src.models.tableau_export; compare-files on reports/tableau against the checked-in files. Recipe and saved records: reports/reproducibility_runs/README.md.
restore,Restore the saved model runs,"same machine, pinned packages, models restored from mlruns_snapshot/",table cells,cells,21920,0,0,2026-09-22,scripts/repro_scratch_copy.sh; python -m src.mlruns_snapshot restore in the copy; serve it with uvicorn; python -m src.models.tableau_export; compare-files on reports/tableau against the checked-in files. Recipe and saved records: reports/reproducibility_runs/README.md.
retrain_new,Retrain the models on the newest packages,"same machine, fresh venv with unpinned requirements (pandas 3.0.6, statsmodels 0.15.0, scikit-learn 1.9.1, mlflow 3.16.1) instead of constraints.txt (pandas 2.3.3, statsmodels 0.14.6, scikit-learn 1.9.0, mlflow 3.15.1)",files regenerated,files,44,1,,2026-09-22,"fresh venv from requirements.txt without constraints.txt; scripts/repro_scratch_copy.sh; scripts/repro_retrain_chain.sh (ETL, platform_status, the five training commands, model_comparison --no-rba, rba_classifier, simulation_fan, eda_export, svar_unemployment_export, tableau_export against a local API); compare-files on every file the run rewrote. The four interval coverage and calibration reports (about 90 minutes) were not rerun. Step log: reports/reproducibility_runs/retrain_newest_steps.log; packages: environment_newest.txt. Recipe and saved records: reports/reproducibility_runs/README.md."
retrain_new,Retrain the models on the newest packages,"same machine, fresh venv with unpinned requirements (pandas 3.0.6, statsmodels 0.15.0, scikit-learn 1.9.1, mlflow 3.16.1) instead of constraints.txt (pandas 2.3.3, statsmodels 0.14.6, scikit-learn 1.9.0, mlflow 3.15.1)",table cells,cells,89322,1,0,2026-09-22,"fresh venv from requirements.txt without constraints.txt; scripts/repro_scratch_copy.sh; scripts/repro_retrain_chain.sh (ETL, platform_status, the five training commands, model_comparison --no-rba, rba_classifier, simulation_fan, eda_export, svar_unemployment_export, tableau_export against a local API); compare-files on every file the run rewrote. The four interval coverage and calibration reports (about 90 minutes) were not rerun. Step log: reports/reproducibility_runs/retrain_newest_steps.log; packages: environment_newest.txt. Recipe and saved records: reports/reproducibility_runs/README.md."
one_thread,Serve the same models on one CPU thread,"same machine, OpenBLAS and OpenMP limited to one thread (the README says Cloud Run serves on one CPU), saved runs",point forecasts and intervals: other numbers,other,52,0,0,2026-09-22,"restored runs served twice from a scratch copy, once normally and once with OPENBLAS_NUM_THREADS=1 OMP_NUM_THREADS=1; the same requests to both; compare-api on every number and label. Recipe and saved records: reports/reproducibility_runs/README.md; raw responses: reports/reproducibility_runs/api_responses/."
one_thread,Serve the same models on one CPU thread,"same machine, OpenBLAS and OpenMP limited to one thread (the README says Cloud Run serves on one CPU), saved runs",point forecasts and intervals: forecast and interval numbers,pp,72,0,0,2026-09-22,"restored runs served twice from a scratch copy, once normally and once with OPENBLAS_NUM_THREADS=1 OMP_NUM_THREADS=1; the same requests to both; compare-api on every number and label. Recipe and saved records: reports/reproducibility_runs/README.md; raw responses: reports/reproducibility_runs/api_responses/."
one_thread,Serve the same models on one CPU thread,"same machine, OpenBLAS and OpenMP limited to one thread (the README says Cloud Run serves on one CPU), saved runs",point forecasts and intervals: labels,labels,57,0,,2026-09-22,"restored runs served twice from a scratch copy, once normally and once with OPENBLAS_NUM_THREADS=1 OMP_NUM_THREADS=1; the same requests to both; compare-api on every number and label. Recipe and saved records: reports/reproducibility_runs/README.md; raw responses: reports/reproducibility_runs/api_responses/."
one_thread,Serve the same models on one CPU thread,"same machine, OpenBLAS and OpenMP limited to one thread (the README says Cloud Run serves on one CPU), saved runs",trimmed-mean forecasts and intervals: other numbers,other,52,0,0,2026-09-22,"restored runs served twice from a scratch copy, once normally and once with OPENBLAS_NUM_THREADS=1 OMP_NUM_THREADS=1; the same requests to both; compare-api on every number and label. Recipe and saved records: reports/reproducibility_runs/README.md; raw responses: reports/reproducibility_runs/api_responses/."
one_thread,Serve the same models on one CPU thread,"same machine, OpenBLAS and OpenMP limited to one thread (the README says Cloud Run serves on one CPU), saved runs",trimmed-mean forecasts and intervals: forecast and interval numbers,pp,72,0,0,2026-09-22,"restored runs served twice from a scratch copy, once normally and once with OPENBLAS_NUM_THREADS=1 OMP_NUM_THREADS=1; the same requests to both; compare-api on every number and label. Recipe and saved records: reports/reproducibility_runs/README.md; raw responses: reports/reproducibility_runs/api_responses/."
