platform,status,evidence,next_step
ETL pipeline,implemented,src/build_curated_dataset.py,Use output in EDA and modelling.
Custom validation,implemented,src/validation.py; reports/data_quality_report.csv,Keep core custom checks as the fallback validation layer.
Pandera validation,implemented,src/platform_validation.py,Pandera schema checks now run during ETL.
pytest,implemented,tests/,Install requirements and run python -m pytest tests.
DuckDB/SQL analytics,implemented,src/platform_loads.py; sql/queries/,DuckDB database is created by the ETL run.
Supabase PostgreSQL,configuration_required,src/platform_loads.py; src/models/forecast_snapshot.py; .env.example DATABASE_URL; sql/schema_app_metadata.sql,"Run schema SQL, then python -m src.build_curated_dataset --load-postgres and python -m src.models.forecast_snapshot snapshot."
MLflow,implemented,src/models/tracking.py; src/models/registry.py; mlruns/ (local),Train the models first so mlruns/ exists; FastAPI then serves the latest runs to the Streamlit live forecast tool.
FastAPI,implemented,api/main.py,Run uvicorn api.main:app --reload after installing requirements.
Streamlit,deployed,app/streamlit_app.py; app/requirements.txt,Hosted at https://cpi-forecast-demo.streamlit.app/ (verified 2026-09-21); run locally with streamlit run app/streamlit_app.py.
Docker,scaffolded,Dockerfile,Build image after API dependencies are installed.
Google Cloud Run,deployed,Dockerfile; api/main.py; live revision cpi-forecast-api-00016-vig (verified 2026-09-21),"Redeploy is manual after serving changes: docker build, push to Artifact Registry, then gcloud run deploy cpi-forecast-api."
GitHub Actions CI,implemented,.github/workflows/tests.yml,Push to GitHub and confirm workflow passes.
GitHub Actions scheduled ETL,implemented,.github/workflows/scheduled_etl.yml,Push to GitHub and enable scheduled workflow.
