group_id,group_name,horizon_range,horizon_cap,features,level_change_selection_note,selected_order,selected_seasonal_order,selected_by,selection_aic,selection_bic,group_origin_n,group_overall_metric_n,previous_nested_origin_n,origin_drop_from_previous_nested_group,sample_size_note,model,horizon,n,rmse,mae
A,policy rates,1,1,cash_rate_change_lag1;unemployment_rate_change_lag1,"cash_rate: AIC was inconclusive: level beat change by delta AIC 0.618, below the 2.0 materiality threshold; selected stationary change transform because the EDA classifies the level series as I(1). | unemployment_rate: AIC was inconclusive: level beat change by delta AIC 0.476, below the 2.0 materiality threshold; selected stationary change transform because the EDA classifies the level series as I(1).","(1, 0, 1)","(0, 0, 1, 4)",aic,226.061228,242.478419,86,86,,,,rba,overall,86,0.668648,0.494412
A,policy rates,1,1,cash_rate_change_lag1;unemployment_rate_change_lag1,"cash_rate: AIC was inconclusive: level beat change by delta AIC 0.618, below the 2.0 materiality threshold; selected stationary change transform because the EDA classifies the level series as I(1). | unemployment_rate: AIC was inconclusive: level beat change by delta AIC 0.476, below the 2.0 materiality threshold; selected stationary change transform because the EDA classifies the level series as I(1).","(1, 0, 1)","(0, 0, 1, 4)",aic,226.061228,242.478419,86,86,,,,rba,1,86,0.668648,0.494412
A,policy rates,1,1,cash_rate_change_lag1;unemployment_rate_change_lag1,"cash_rate: AIC was inconclusive: level beat change by delta AIC 0.618, below the 2.0 materiality threshold; selected stationary change transform because the EDA classifies the level series as I(1). | unemployment_rate: AIC was inconclusive: level beat change by delta AIC 0.476, below the 2.0 materiality threshold; selected stationary change transform because the EDA classifies the level series as I(1).","(1, 0, 1)","(0, 0, 1, 4)",aic,226.061228,242.478419,86,86,,,,sarima,overall,86,0.600631,0.425571
A,policy rates,1,1,cash_rate_change_lag1;unemployment_rate_change_lag1,"cash_rate: AIC was inconclusive: level beat change by delta AIC 0.618, below the 2.0 materiality threshold; selected stationary change transform because the EDA classifies the level series as I(1). | unemployment_rate: AIC was inconclusive: level beat change by delta AIC 0.476, below the 2.0 materiality threshold; selected stationary change transform because the EDA classifies the level series as I(1).","(1, 0, 1)","(0, 0, 1, 4)",aic,226.061228,242.478419,86,86,,,,sarima,1,86,0.600631,0.425571
A,policy rates,1,1,cash_rate_change_lag1;unemployment_rate_change_lag1,"cash_rate: AIC was inconclusive: level beat change by delta AIC 0.618, below the 2.0 materiality threshold; selected stationary change transform because the EDA classifies the level series as I(1). | unemployment_rate: AIC was inconclusive: level beat change by delta AIC 0.476, below the 2.0 materiality threshold; selected stationary change transform because the EDA classifies the level series as I(1).","(1, 0, 1)","(0, 0, 1, 4)",aic,226.061228,242.478419,86,86,,,,sarimax,overall,86,0.606629,0.446999
A,policy rates,1,1,cash_rate_change_lag1;unemployment_rate_change_lag1,"cash_rate: AIC was inconclusive: level beat change by delta AIC 0.618, below the 2.0 materiality threshold; selected stationary change transform because the EDA classifies the level series as I(1). | unemployment_rate: AIC was inconclusive: level beat change by delta AIC 0.476, below the 2.0 materiality threshold; selected stationary change transform because the EDA classifies the level series as I(1).","(1, 0, 1)","(0, 0, 1, 4)",aic,226.061228,242.478419,86,86,,,,sarimax,1,86,0.606629,0.446999
A,policy rates,1,1,cash_rate_change_lag1;unemployment_rate_change_lag1,"cash_rate: AIC was inconclusive: level beat change by delta AIC 0.618, below the 2.0 materiality threshold; selected stationary change transform because the EDA classifies the level series as I(1). | unemployment_rate: AIC was inconclusive: level beat change by delta AIC 0.476, below the 2.0 materiality threshold; selected stationary change transform because the EDA classifies the level series as I(1).","(1, 0, 1)","(0, 0, 1, 4)",aic,226.061228,242.478419,86,86,,,,seasonal_naive,overall,86,1.67797,1.255892
A,policy rates,1,1,cash_rate_change_lag1;unemployment_rate_change_lag1,"cash_rate: AIC was inconclusive: level beat change by delta AIC 0.618, below the 2.0 materiality threshold; selected stationary change transform because the EDA classifies the level series as I(1). | unemployment_rate: AIC was inconclusive: level beat change by delta AIC 0.476, below the 2.0 materiality threshold; selected stationary change transform because the EDA classifies the level series as I(1).","(1, 0, 1)","(0, 0, 1, 4)",aic,226.061228,242.478419,86,86,,,,seasonal_naive,1,86,1.67797,1.255892
B,A + inflation expectations,1,1,cash_rate_change_lag1;unemployment_rate_change_lag1;inflation_expectations_business_lag1,"cash_rate: AIC was inconclusive: level beat change by delta AIC 0.618, below the 2.0 materiality threshold; selected stationary change transform because the EDA classifies the level series as I(1). | unemployment_rate: AIC was inconclusive: level beat change by delta AIC 0.476, below the 2.0 materiality threshold; selected stationary change transform because the EDA classifies the level series as I(1).","(1, 0, 1)","(0, 0, 1, 4)",aic,227.981447,247.134836,86,86,86,0,,rba,overall,86,0.668648,0.494412
B,A + inflation expectations,1,1,cash_rate_change_lag1;unemployment_rate_change_lag1;inflation_expectations_business_lag1,"cash_rate: AIC was inconclusive: level beat change by delta AIC 0.618, below the 2.0 materiality threshold; selected stationary change transform because the EDA classifies the level series as I(1). | unemployment_rate: AIC was inconclusive: level beat change by delta AIC 0.476, below the 2.0 materiality threshold; selected stationary change transform because the EDA classifies the level series as I(1).","(1, 0, 1)","(0, 0, 1, 4)",aic,227.981447,247.134836,86,86,86,0,,rba,1,86,0.668648,0.494412
